SubjID,Sex,L1,IEPLevel,ADT_01,ADT_02,ADT_03,ADT_04,ADT_05,ADT_06,ADT_07,ADT_08,ADT_09,ADT_10,ReadingTotalScore
1,M,Arabic,2,1,1,0,0,0,0,0,0,0,1,14
2,F,Arabic,3,0,1,0,0,0,0,0,0,0,0,11
3,M,Arabic,5,0,0,1,0,0,1,0,0,0,0,15
4,M,Arabic,4,0,0,0,0,0,0,0,0,0,0,16
5,M,Arabic,5,0,0,0,0,0,0,0,0,0,0,25
6,M,Arabic,6,1,1,1,1,0,1,1,1,0,1,23
7,F,Chinese,6,1,0,0,1,1,0,1,0,1,0,3
8,F,Arabic,1,0,0,0,0,0,0,0,0,0,0,21
9,M,Arabic,2,0,0,0,0,0,0,1,1,0,1,14
10,M,Arabic,3,1,1,0,0,0,0,0,0,0,0,13
11,M,Arabic,6,1,1,1,1,1,0,1,1,1,1,27
12,F,Chinese,6,1,1,1,1,1,0,1,0,1,0,24
13,M,Arabic,6,1,1,1,1,0,1,1,0,0,1,25
14,M,Chinese,4,0,0,0,0,1,0,1,0,0,0,20
15,F,Chinese,5,0,0,0,1,1,0,1,1,1,1,15
16,M,Chinese,5,1,0,1,1,0,1,1,1,0,1,17
17,M,Chinese,5,1,1,1,1,0,1,1,1,0,1,26
18,F,Arabic,6,0,1,1,0,1,0,1,0,1,0,16
19,F,Chinese,5,1,0,1,0,1,1,1,0,1,1,19
20,M,Arabic,4,0,0,0,0,0,0,0,0,0,0,15
21,M,Korean,5,1,0,1,1,1,0,1,0,1,0,18
22,M,Japanese,4,1,0,1,0,0,0,1,0,1,1,17
23,M,Japanese,3,0,0,1,1,0,0,1,0,0,0,15
24,M,Chinese,4,1,0,1,1,0,0,1,0,0,0,15
25,M,Chinese,6,1,1,0,1,1,1,1,1,1,1,32
26,M,Chinese,4,1,0,1,1,0,0,1,1,0,1,18
27,F,Chinese,6,1,1,1,1,1,0,1,0,1,1,26
28,M,Arabic,1,1,0,0,0,0,0,0,0,0,0,1
29,M,Arabic,6,1,1,1,1,1,0,1,1,1,1,30
30,M,Korean,5,1,1,1,1,0,0,1,1,1,1,27
31,M,Korean,4,0,1,1,0,1,0,1,0,0,1,22
32,M,Chinese,4,0,0,1,0,1,0,1,0,1,0,15
33,M,Chinese,4,0,0,0,0,0,0,0,0,0,0,14
34,F,Chinese,4,1,0,1,0,0,0,0,0,0,0,18
35,M,Chinese,2,0,0,0,0,0,0,0,0,0,0,13
36,F,Chinese,6,0,1,1,1,0,1,1,1,0,0,28
37,F,Chinese,5,1,0,1,1,0,0,0,0,0,0,20
38,F,Chinese,5,0,0,0,0,1,0,1,0,0,0,18
39,M,Chinese,2,0,0,1,1,0,1,0,0,0,0,13
40,M,Chinese,4,1,0,1,1,0,1,1,1,1,0,19
41,M,Chinese,5,0,0,1,1,1,0,1,0,0,0,19
42,M,Chinese,5,0,0,0,0,0,0,1,0,0,0,17
43,F,Chinese,6,0,0,0,1,0,1,1,1,0,1,18
44,F,Chinese,5,1,1,1,1,1,1,1,0,0,1,18
45,M,Chinese,4,1,1,1,1,1,1,1,1,1,1,20
46,F,Chinese,2,1,0,1,0,0,0,1,1,0,0,16
47,M,Chinese,4,1,0,1,0,0,1,1,0,1,1,21
48,M,Chinese,4,0,0,0,1,1,0,0,0,0,0,13
49,M,Arabic,4,1,0,1,0,0,0,1,1,0,0,19
50,M,Chinese,4,0,0,1,0,0,0,0,1,0,1,16
